"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 12월 26일","16,831.9","16,831.8","16,836.5","16,822.0","133.33K","0.00%"
"2022년 12월 25일","16,831.8","16,835.7","16,852.9","16,733.0","132.89K","-0.03%"
"2022년 12월 24일","16,837.2","16,778.6","16,855.8","16,777.8","110.12K","0.35%"
"2022년 12월 23일","16,779.1","16,820.5","16,910.7","16,768.0","184.12K","-0.25%"
"2022년 12월 22일","16,820.6","16,831.8","16,862.2","16,566.1","198.28K","-0.07%"
"2022년 12월 21일","16,831.8","16,902.7","16,919.4","16,735.0","174.34K","-0.42%"
"2022년 12월 20일","16,902.8","16,441.3","17,031.3","16,400.7","284.57K","2.81%"
"2022년 12월 19일","16,441.3","16,741.1","16,809.5","16,331.2","207.93K","-1.79%"
"2022년 12월 18일","16,741.1","16,777.0","16,825.7","16,666.5","124.29K","-0.21%"
"2022년 12월 17일","16,777.1","16,629.0","16,794.4","16,587.0","164.49K","0.89%"
"2022년 12월 16일","16,629.6","17,356.7","17,518.5","16,542.4","303.56K","-4.19%"
"2022년 12월 15일","17,356.1","17,796.4","17,846.1","17,298.2","263.44K","-2.47%"
"2022년 12월 14일","17,796.4","17,778.6","18,351.8","17,682.1","318.98K","0.10%"
"2022년 12월 13일","17,778.6","17,210.9","17,951.6","17,094.5","328.71K","3.30%"
"2022년 12월 12일","17,210.4","17,093.2","17,232.5","16,878.5","249.39K","0.68%"
"2022년 12월 11일","17,093.3","17,127.0","17,262.9","17,080.6","167.20K","-0.20%"
"2022년 12월 10일","17,127.2","17,125.7","17,220.5","17,105.7","148.81K","0.01%"
"2022년 12월 09일","17,125.7","17,225.6","17,288.6","17,082.1","260.84K","-0.58%"
"2022년 12월 08일","17,225.7","16,835.2","17,294.2","16,765.8","261.64K","2.32%"
"2022년 12월 07일","16,835.2","17,089.4","17,126.7","16,715.3","244.36K","-1.49%"
"2022년 12월 06일","17,089.3","16,966.3","17,101.1","16,914.9","246.19K","0.72%"
"2022년 12월 05일","16,966.5","17,106.9","17,395.2","16,886.9","268.72K","-0.85%"
"2022년 12월 04일","17,112.6","16,884.8","17,198.1","16,881.6","197.12K","1.35%"
"2022년 12월 03일","16,884.5","17,093.4","17,132.6","16,862.1","169.29K","-1.22%"
"2022년 12월 02일","17,093.6","16,972.2","17,096.2","16,799.9","227.01K","0.72%"
"2022년 12월 01일","16,972.0","17,163.4","17,244.7","16,868.9","266.14K","-1.12%"
"2022년 11월 30일","17,163.9","16,440.8","17,215.5","16,433.2","348.22K","4.40%"
"2022년 11월 29일","16,440.4","16,211.9","16,531.4","16,100.1","271.58K","1.41%"
"2022년 11월 28일","16,211.7","16,426.1","16,481.4","16,013.5","284.84K","-1.30%"
"2022년 11월 27일","16,425.6","16,456.4","16,595.4","16,414.6","173.25K","-0.19%"
"2022년 11월 26일","16,456.5","16,512.3","16,686.3","16,387.9","194.94K","-0.34%"
"2022년 11월 25일","16,512.3","16,600.6","16,611.8","16,360.9","204.07K","-0.54%"
"2022년 11월 24일","16,601.2","16,604.9","16,785.6","16,472.0","229.59K","-0.14%"
"2022년 11월 23일","16,623.9","16,216.9","16,677.6","16,162.3","305.08K","2.53%"
"2022년 11월 22일","16,212.9","15,776.6","16,274.6","15,620.4","287.21K","2.77%"
"2022년 11월 21일","15,776.2","16,278.6","16,287.9","15,504.2","372.15K","-3.13%"
"2022년 11월 20일","16,286.7","16,699.3","16,749.3","16,209.2","172.83K","-2.47%"
"2022년 11월 19일","16,699.2","16,652.2","16,814.9","16,608.9","114.89K","0.37%"
"2022년 11월 18일","16,638.3","16,715.4","16,846.3","16,553.0","241.96K","-0.32%"
"2022년 11월 17일","16,691.2","16,540.5","16,739.7","16,425.8","257.00K","0.91%"
"2022년 11월 16일","16,540.5","16,895.4","16,993.4","16,408.2","295.73K","-2.10%"
"2022년 11월 15일","16,895.1","16,615.0","17,112.0","16,543.9","337.15K","1.69%"
"2022년 11월 14일","16,613.7","16,325.0","17,158.4","15,834.0","442.46K","1.77%"
"2022년 11월 13일","16,324.5","16,803.9","16,946.5","16,274.9","210.80K","-2.80%"
"2022년 11월 12일","16,795.2","17,049.9","17,100.8","16,633.9","192.91K","-1.49%"
"2022년 11월 11일","17,049.9","17,589.1","17,679.4","16,435.5","466.35K","-3.07%"
"2022년 11월 10일","17,589.1","15,887.0","18,138.2","15,799.3","720.74K","10.71%"
"2022년 11월 09일","15,886.9","18,538.9","18,583.8","15,603.3","869.57K","-14.25%"
"2022년 11월 08일","18,527.4","20,589.0","20,667.5","17,260.0","865.10K","-10.01%"
"2022년 11월 07일","20,589.0","20,916.3","21,055.4","20,410.5","414.24K","-1.56%"
"2022년 11월 06일","20,916.3","21,298.7","21,360.4","20,901.0","242.26K","-1.81%"
"2022년 11월 05일","21,301.6","21,145.7","21,464.7","21,084.1","261.23K","0.74%"
"2022년 11월 04일","21,145.9","20,206.4","21,281.9","20,184.6","499.50K","4.65%"
"2022년 11월 03일","20,206.4","20,154.0","20,384.5","20,066.6","347.23K","0.26%"
"2022년 11월 02일","20,154.4","20,482.9","20,778.3","20,065.8","420.23K","-1.61%"
"2022년 11월 01일","20,483.5","20,496.1","20,676.6","20,348.1","302.72K","-0.06%"
"2022년 10월 31일","20,496.3","20,626.0","20,822.4","20,260.0","327.47K","-0.63%"
"2022년 10월 30일","20,626.3","20,809.4","20,922.3","20,522.5","207.63K","-0.88%"
"2022년 10월 29일","20,809.8","20,594.2","21,038.1","20,561.9","276.54K","1.05%"
"2022년 10월 28일","20,594.4","20,293.0","20,744.0","20,058.2","318.90K","1.49%"
"2022년 10월 27일","20,292.9","20,769.5","20,867.9","20,231.6","365.49K","-2.29%"
"2022년 10월 26일","20,769.5","20,086.8","20,981.5","20,062.9","427.99K","3.42%"
"2022년 10월 25일","20,082.7","19,331.8","20,406.9","19,249.0","371.54K","3.89%"
