"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 12월","1,223.71","1,294.40","1,348.43","1,152.54","10.11M","-5.46%"
"2022년 11월","1,294.41","1,572.89","1,666.17","1,076.29","25.72M","-17.70%"
"2022년 10월","1,572.89","1,328.73","1,660.13","1,196.63","18.77M","18.37%"
"2022년 9월","1,328.73","1,554.57","1,788.10","1,222.29","26.34M","-14.56%"
"2022년 8월","1,555.12","1,679.98","2,028.40","1,424.33","30.21M","-7.43%"
"2022년 7월","1,680.00","1,069.13","1,781.39","1,012.29","45.65M","57.15%"
"2022년 6월","1,069.05","1,941.81","1,971.22","883.35","48.62M","-44.95%"
"2022년 5월","1,941.79","2,727.20","2,963.54","1,708.62","30.39M","-28.80%"
"2022년 4월","2,727.18","3,282.33","3,579.82","2,716.31","16.66M","-16.91%"
"2022년 3월","3,282.35","2,922.44","3,481.23","2,447.74","18.38B","12.31%"
"2022년 2월","2,922.50","2,686.82","3,277.36","2,303.07","18.06M","8.77%"
"2022년 1월","2,686.82","3,677.69","3,889.07","2,161.55","19.15M","-26.95%"
"2021년 12월","3,677.85","4,628.72","4,778.14","3,533.02","18.28M","-20.55%"
"2021년 11월","4,628.90","4,287.41","4,864.06","3,917.43","17.12M","7.96%"
"2021년 10월","4,287.56","2,999.86","4,458.30","2,972.75","21.57M","42.89%"
"2021년 9월","3,000.59","3,429.65","4,024.89","2,659.71","30.69M","-12.54%"
"2021년 8월","3,430.74","2,530.94","3,467.42","2,445.49","26.43M","35.49%"
"2021년 7월","2,532.19","2,274.50","2,551.68","1,720.70","33.53M","11.36%"
"2021년 6월","2,273.84","2,707.94","2,889.19","1,707.24","51.29M","-16.05%"
"2021년 5월","2,708.47","2,772.27","4,366.10","1,739.91","81.40M","-2.32%"
"2021년 4월","2,772.78","1,918.82","2,797.61","1,897.38","61.47M","44.57%"
"2021년 3월","1,917.99","1,418.91","1,945.40","1,411.55","50.74M","35.19%"
"2021년 2월","1,418.76","1,312.69","2,040.79","1,272.09","53.76M","8.08%"
"2021년 1월","1,312.73","735.87","1,474.68","715.15","79.04M","78.37%"
"2020년 12월","735.94","616.78","757.11","530.88","300.29M","19.49%"
"2020년 11월","615.92","386.36","621.70","370.96","437.16M","59.39%"
"2020년 10월","386.42","359.50","420.12","334.11","209.52M","7.52%"
