"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 12월 26일","0.9064","0.8945","0.9080","0.8945","85.92K","1.34%"
"2022년 12월 25일","0.8945","0.9252","0.9438","0.8937","86.02K","-3.32%"
"2022년 12월 24일","0.9252","0.9476","0.9755","0.9165","212.28K","-2.36%"
"2022년 12월 23일","0.9476","1.0289","1.0565","0.9389","172.58K","-7.90%"
"2022년 12월 22일","1.0289","0.8661","1.1679","0.8048","172.33K","18.80%"
"2022년 12월 21일","0.8661","0.9494","0.9495","0.8279","25.89K","-8.77%"
"2022년 12월 20일","0.9494","0.9574","0.9900","0.8844","33.88K","-0.84%"
"2022년 12월 19일","0.9574","1.0378","1.1519","0.8518","71.55K","-7.75%"
"2022년 12월 18일","1.0378","1.0822","1.1331","1.0327","69.93K","-4.10%"
"2022년 12월 17일","1.0822","1.1280","1.1786","1.0011","105.65K","-4.06%"
"2022년 12월 16일","1.1280","1.3575","1.3733","1.1173","70.37K","-16.91%"
"2022년 12월 15일","1.3575","1.3611","1.3950","1.3271","60.57K","-0.26%"
"2022년 12월 14일","1.3611","1.3880","1.4250","1.3318","80.70K","-1.94%"
"2022년 12월 13일","1.3880","1.4812","1.5235","1.3176","105.59K","-6.29%"
"2022년 12월 12일","1.4812","1.5178","1.6000","1.4541","98.43K","-2.41%"
"2022년 12월 11일","1.5178","1.5074","1.6725","1.4511","117.43K","0.70%"
"2022년 12월 10일","1.5072","1.7037","1.8306","1.4964","190.30K","-11.53%"
"2022년 12월 09일","1.7037","1.3743","1.9500","1.3200","346.08K","23.97%"
"2022년 12월 08일","1.3743","1.3924","1.4185","1.3317","38.18K","-1.30%"
"2022년 12월 07일","1.3924","1.4581","1.4637","1.3669","27.19K","-4.51%"
"2022년 12월 06일","1.4581","1.3948","1.4910","1.3520","80.47K","4.52%"
"2022년 12월 05일","1.3950","1.3940","1.5304","1.3555","118.25K","0.49%"
"2022년 12월 04일","1.3882","1.3134","1.4956","1.3134","116.14K","5.70%"
"2022년 12월 03일","1.3134","1.3026","1.3874","1.2962","78.68K","0.83%"
"2022년 12월 02일","1.3026","1.2970","1.4434","1.2731","82.71K","0.43%"
"2022년 12월 01일","1.2970","1.3406","1.3452","1.2791","63.29K","-3.25%"
"2022년 11월 30일","1.3406","1.3001","1.5010","1.2901","123.76K","3.12%"
"2022년 11월 29일","1.3001","1.2888","1.3269","1.2541","48.02K","0.88%"
"2022년 11월 28일","1.2888","1.4318","1.4318","1.2722","58.42K","-9.99%"
"2022년 11월 27일","1.4318","1.4320","1.4321","1.4318","21.48M","-0.01%"
"2022년 11월 26일","1.4320","1.4317","1.4322","1.4315","21.74M","0.02%"
"2022년 11월 25일","1.4317","1.4319","1.4332","1.4312","21.48M","-0.02%"
"2022년 11월 24일","1.4319","1.4315","1.4320","1.4313","21.45M","0.03%"
"2022년 11월 23일","1.4315","1.4319","1.4321","1.4314","21.53M","-0.03%"
"2022년 11월 22일","1.4319","1.4309","1.4321","1.4308","21.36M","0.06%"
"2022년 11월 21일","1.4309","1.4311","1.4315","1.4302","21.41M","-0.01%"
"2022년 11월 20일","1.4311","1.4321","1.4331","1.4310","21.47M","-0.07%"
"2022년 11월 19일","1.4321","1.4322","1.4322","1.4320","21.49M","-0.00%"
"2022년 11월 18일","1.4322","1.4331","1.4332","1.4320","21.67M","-0.06%"
"2022년 11월 17일","1.4331","1.4337","1.4349","1.4328","21.45M","-0.05%"
"2022년 11월 16일","1.4337","1.4433","1.4442","1.4331","21.66M","-0.66%"
"2022년 11월 15일","1.4433","1.4899","1.6419","1.3988","22.31M","-3.13%"
"2022년 11월 14일","1.4899","1.5135","1.8803","1.2374","46.38M","-1.57%"
"2022년 11월 13일","1.5137","2.1037","2.2602","1.4297","68.38M","-28.05%"
"2022년 11월 12일","2.1037","2.6005","2.6345","1.8534","64.54M","-19.10%"
"2022년 11월 11일","2.6004","3.5082","3.7300","2.4205","84.02M","-25.92%"
