"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 01","2,324.57","2,501.43","2,501.43","2,304.20","366.99M","-5.98%"
"2022- 11- 01","2,472.53","2,301.58","2,499.43","2,296.44","12.75B","7.80%"
"2022- 10- 01","2,293.61","2,189.51","2,295.51","2,162.87","11.77B","6.41%"
"2022- 09- 01","2,155.49","2,443.00","2,453.95","2,134.77","9.38B","-12.81%"
"2022- 08- 01","2,472.05","2,444.05","2,546.35","2,417.01","9.77B","0.84%"
"2022- 07- 01","2,451.50","2,342.92","2,463.05","2,276.63","7.96B","5.10%"
"2022- 06- 01","2,332.64","2,670.74","2,681.51","2,306.48","12.01B","-13.15%"
"2022- 05- 01","2,685.90","2,669.21","2,702.10","2,546.80","16.87B","-0.34%"
"2022- 04- 01","2,695.05","2,745.85","2,769.18","2,615.50","22.03B","-2.27%"
"2022- 03- 01","2,757.65","2,698.31","2,765.20","2,605.81","14.41B","2.17%"
"2022- 02- 01","2,699.18","2,706.34","2,788.27","2,642.63","10.12B","1.35%"
"2022- 01- 01","2,663.34","2,998.32","3,010.77","2,591.53","10.93B","-10.56%"
"2021- 12- 01","2,977.65","2,860.12","3,043.83","2,837.03","10.67B","4.88%"
"2021- 11- 01","2,839.01","2,984.18","3,034.30","2,822.73","13.79B","-4.43%"
"2021- 10- 01","2,970.68","3,056.21","3,062.60","2,901.51","13.91B","-3.20%"
"2021- 09- 01","3,068.82","3,195.67","3,215.13","3,030.60","14.27B","-4.08%"
"2021- 08- 01","3,199.27","3,218.42","3,296.17","3,049.03","13.80B","-0.10%"
"2021- 07- 01","3,202.32","3,297.92","3,313.51","3,188.80","22.12B","-2.86%"
"2021- 06- 01","3,296.68","3,207.12","3,316.08","3,199.18","35.35B","2.90%"
"2021- 05- 01","3,203.92","3,149.05","3,255.90","3,103.88","18.79B","1.78%"
"2021- 04- 01","3,147.86","3,073.77","3,223.05","3,069.68","31.07B","2.82%"
"2021- 03- 01","3,061.42","3,021.68","3,096.50","2,929.36","27.90B","1.61%"
"2021- 02- 01","3,012.95","2,976.81","3,180.94","2,947.24","30.03B","1.23%"
"2021- 01- 01","2,976.21","2,874.50","3,266.23","2,869.11","26.09B","3.58%"
"2020- 12- 01","2,873.47","2,613.42","2,878.21","2,611.67","24.56B","10.89%"
"2020- 11- 01","2,591.34","2,276.61","2,648.66","2,267.95","24.38B","14.30%"
"2020- 10- 01","2,267.15","2,330.55","2,418.89","2,266.93","15.71B","-2.61%"
"2020- 09- 01","2,327.89","2,340.19","2,450.53","2,267.63","19.61B","0.07%"
"2020- 08- 01","2,326.17","2,251.65","2,458.17","2,237.04","17.64B","3.41%"
"2020- 07- 01","2,249.37","2,128.81","2,281.41","2,101.33","18.87B","6.69%"
"2020- 06- 01","2,108.33","2,037.04","2,217.21","2,030.82","19.86B","3.88%"
"2020- 05- 01","2,029.60","1,906.42","2,054.52","1,894.29","16.21B","4.21%"
"2020- 04- 01","1,947.56","1,737.28","1,957.51","1,664.13","21.05B","10.99%"
"2020- 03- 01","1,754.64","1,997.03","2,089.08","1,439.43","17.09B","-11.69%"
"2020- 02- 01","1,987.01","2,086.61","2,255.49","1,980.82","13.96B","-6.23%"
"2020- 01- 01","2,119.01","2,201.21","2,277.23","2,119.01","13.10B","-3.58%"
