"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 12월","1.3134","1.6177","1.7477","1.1012","9.10M","-18.77%"
"2022년 11월","1.6168","2.4409","2.7229","1.4298","10.31M","-33.76%"
"2022년 10월","2.4410","2.4806","3.1100","2.2173","18.68M","-1.65%"
"2022년 9월","2.4819","1.7866","7.7148","1.7625","49.46M","39.02%"
"2022년 8월","1.7853","1.8828","2.6143","1.5070","10.83M","-5.18%"
"2022년 7월","1.8828","2.1230","2.4571","1.5018","18.10M","-11.30%"
"2022년 6월","2.1227","8.6837","8.8198","1.6007","206.59M","-75.43%"
"2022년 5월","8.6397","78.0981","88.2774","0.0000","1,460.01B","-88.94%"
"2022년 4월","78.1413","102.9970","119.4417","75.7337","-","-24.17%"
"2022년 3월","103.0498","91.3856","111.5062","75.6143","-","12.89%"
"2022년 2월","91.2807","52.1459","95.2679","46.5245","-","75.17%"
"2022년 1월","52.1104","85.5386","93.9159","43.4758","-","-39.06%"
"2021년 12월","85.5179","59.6167","103.4640","50.2392","-","43.48%"
"2021년 11월","59.6047","42.8938","59.9498","37.8237","-","38.94%"
"2021년 10월","42.8985","38.8411","49.4254","35.0007","-","10.45%"
"2021년 9월","38.8399","31.5474","44.3777","23.0326","-","23.09%"
"2021년 8월","31.5548","10.7419","36.8287","10.5582","-","194.24%"
"2021년 7월","10.7243","6.5636","11.7781","5.5993","-","63.54%"
"2021년 6월","6.5576","6.4787","7.7186","4.7518","-","0.09%"
"2021년 5월","6.5519","16.6800","18.4769","4.3989","-","-60.74%"
"2021년 4월","16.6885","18.6730","19.0025","12.7927","-","-10.68%"
"2021년 3월","18.6832","5.3579","22.1228","5.3579","-","249.57%"
