,종류,날짜,연,월,종가(USD),종가(KRW),원달러환율,거래량
0,비트코인,2022-12,2022,12,16868.9,21963645.178000003,1302.02,5640000.0
1,비트코인,2022-11,2022,11,17163.9,23413275.990000002,1364.1,10300000.0
2,비트코인,2022-10,2022,10,20496.3,29241251.358,1426.66,8289999.999999999
3,비트코인,2022-9,2022,09,19423.0,27028852.569999997,1391.59,10910000.0
4,비트코인,2022-8,2022,08,20043.9,26426679.516000003,1318.44,6550000.0
5,비트코인,2022-7,2022,07,23303.4,30466865.160000004,1307.4,5790000.0
6,비트코인,2022-6,2022,06,19926.6,25453242.509999998,1277.35,3790000.0
7,비트코인,2022-5,2022,05,31793.4,40373802.792,1269.88,4670000000.0
8,비트코인,2022-4,2022,04,37650.0,46397601.0,1232.34,12140000000.0
9,비트코인,2022-3,2022,03,45525.0,55587390.75,1221.03,43700000000.0
10,비트코인,2022-2,2022,02,43188.2,51754147.58799999,1198.34,1820000.0
11,비트코인,2022-1,2022,01,38498.6,45967713.386,1194.01,2029999.9999999998
12,비트코인,2021-12,2021,12,46219.5,54710022.15,1183.7,1900000.0
13,비트코인,2021-11,2021,11,56882.9,67287351.23900001,1182.91,1850000.0
14,비트코인,2021-10,2021,10,61309.6,72518221.072,1182.82,2180000.0
15,비트코인,2021-9,2021,09,43823.3,51253102.282000005,1169.54,2210000.0
16,비트코인,2021-8,2021,08,47130.4,54687288.335999995,1160.34,2140000.0
17,비트코인,2021-7,2021,07,41553.7,47536601.725999996,1143.98,2440000.0
18,비트코인,2021-6,2021,06,35026.9,39275662.97,1121.3,4139999.9999999995
19,비트코인,2021-5,2021,05,37298.6,41896771.408,1123.28,5330000.0
20,비트코인,2021-4,2021,04,57720.3,64612103.82000001,1119.4,2970000.0
21,비트코인,2021-3,2021,03,58763.7,66462919.97399999,1131.02,3010000.0
22,비트코인,2021-2,2021,02,45164.0,50209722.08,1111.72,4010000.0
23,비트코인,2021-1,2021,01,33108.1,36335808.669,1097.49,5500000.0
24,비트코인,2020-12,2020,12,28949.4,31703356.422000006,1095.13,3850000.0
25,비트코인,2020-11,2020,11,19698.1,21998050.156,1116.76,4050000.0
26,비트코인,2020-10,2020,10,13797.3,15793493.364,1144.68,2410000.0
27,이더리움,2022-12,2022,12,1223.71,1593294.8942,1302.02,10110000.0
28,이더리움,2022-11,2022,11,1294.41,1765704.681,1364.1,25720000.0
29,이더리움,2022-10,2022,10,1572.89,2243979.2474,1426.66,18770000.0
30,이더리움,2022-9,2022,09,1328.73,1849047.3806999999,1391.59,26340000.0
31,이더리움,2022-8,2022,08,1555.12,2050332.4128,1318.44,30210000.0
32,이더리움,2022-7,2022,07,1680.0,2196432.0,1307.4,45650000.0
33,이더리움,2022-6,2022,06,1069.05,1365551.0174999998,1277.35,48620000.0
34,이더리움,2022-5,2022,05,1941.79,2465840.2852000003,1269.88,30390000.0
