"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 12월 26일","0.37130","0.36880","0.37230","0.36680","715.09K","0.90%"
"2022년 12월 25일","0.36800","0.36970","0.37060","0.36310","631.54K","-0.46%"
"2022년 12월 24일","0.36970","0.37110","0.37380","0.35680","1.34M","-0.30%"
"2022년 12월 23일","0.37080","0.36740","0.37120","0.35000","1.58M","0.98%"
"2022년 12월 22일","0.36720","0.34990","0.37000","0.34670","1.68M","4.94%"
"2022년 12월 21일","0.34990","0.35210","0.35390","0.33480","1.31M","-0.62%"
"2022년 12월 20일","0.35210","0.33320","0.35460","0.33320","1.98M","5.99%"
"2022년 12월 19일","0.33220","0.38220","0.38680","0.32630","2.14M","-13.08%"
"2022년 12월 18일","0.38220","0.37450","0.39790","0.37020","1.37M","2.22%"
"2022년 12월 17일","0.37390","0.38660","0.40300","0.35140","2.81M","-3.81%"
"2022년 12월 16일","0.38870","0.42940","0.43080","0.38870","2.73M","-9.44%"
"2022년 12월 15일","0.42920","0.43280","0.43820","0.40740","3.13M","-0.97%"
"2022년 12월 14일","0.43340","0.43280","0.45100","0.42470","3.62M","-0.32%"
"2022년 12월 13일","0.43480","0.43750","0.44740","0.39060","6.24M","-0.87%"
"2022년 12월 12일","0.43860","0.45620","0.45800","0.36460","10.09M","-3.71%"
"2022년 12월 11일","0.45550","0.37960","0.48320","0.37960","21.93M","19.99%"
"2022년 12월 10일","0.37960","0.29100","0.39280","0.28760","33.50M","30.45%"
"2022년 12월 09일","0.29100","0.29360","0.31900","0.26930","9.06M","-0.78%"
"2022년 12월 08일","0.29330","0.28960","0.31960","0.12570","224.25M","1.84%"
"2022년 12월 07일","0.28800","0.63430","0.73980","0.24390","131.91M","-55.08%"
"2022년 12월 06일","0.64120","0.64210","0.68100","0.57070","16.39M","-0.30%"
"2022년 12월 05일","0.64310","0.83550","0.84140","0.63800","16.87M","-23.09%"
"2022년 12월 04일","0.83620","0.65090","0.87990","0.65090","19.17M","28.84%"
"2022년 12월 03일","0.64900","0.56030","0.66200","0.54380","17.01M","15.52%"
"2022년 12월 02일","0.56180","0.43080","0.62490","0.41540","24.94M","30.74%"
"2022년 12월 01일","0.42970","0.42070","0.44650","0.41200","3.23M","2.38%"
"2022년 11월 30일","0.41970","0.40270","0.43910","0.39940","344.91K","4.40%"
"2022년 11월 29일","0.40200","0.38880","0.41690","0.38540","595.35K","3.45%"
"2022년 11월 28일","0.38860","0.37810","0.40940","0.35670","704.81K","2.59%"
"2022년 11월 27일","0.37880","0.40180","0.42460","0.34690","910.50K","-6.24%"
"2022년 11월 26일","0.40400","0.37380","0.45060","0.36650","2.35M","7.88%"
"2022년 11월 25일","0.37450","0.46750","0.48800","0.34180","4.19M","-18.57%"
"2022년 11월 24일","0.45990","1.57240","1.66570","0.43910","9.37M","-70.75%"
